Student ID,Regular/Lateral,CIA-1,CIA-2,CIA-3,Assignment-1,Assignment-2,Assignment-3,Attendance (%),Internal(50),External(100),Final Marks,Grade
419,Regular,18,49,13,9,9,8,94,35,82,76,B
420,Regular,22,23,24,10,9,9,88,28,94,75,B
421,Regular,40,21,28,8,8,8,98,35,47,58,D
422,Regular,8,12,35,8,10,9,75,27,91,72,B
423,Regular,24,11,15,8,10,9,99,24,63,55,D
424,Regular,23,39,25,10,8,8,100,34,67,67,C
425,Regular,49,19,21,8,10,9,100,37,44,59,D
426,Regular,41,17,11,8,9,8,98,31,88,75,B
427,Regular,27,40,15,8,8,10,78,35,95,82,A
428,Regular,41,4,11,8,8,9,100,29,44,51,D
429,Regular,40,38,15,9,8,10,90,40,75,77,B
430,Regular,29,10,44,8,10,10,90,38,67,71,B
431,Lateral,10,37,12,8,10,10,81,28,65,60,D
432,Regular,11,41,29,9,9,10,87,37,65,69,C
433,Regular,33,40,27,10,10,9,88,38,72,74,B
434,Regular,37,20,23,10,9,10,98,33,41,53,D
435,Regular,24,13,50,10,10,8,92,38,70,73,B
436,Regular,47,9,28,10,8,9,100,39,82,80,B
437,Regular,27,35,49,9,8,10,99,42,62,73,B
438,Lateral,17,45,2,10,10,8,97,34,67,67,C
439,Regular,35,36,44,10,10,10,88,42,81,82,A
440,Regular,25,24,3,9,9,9,93,28,55,55,D
441,Regular,11,44,12,10,9,10,83,32,48,56,D
442,Regular,49,50,40,10,10,9,93,49,47,72,B
443,Regular,49,13,19,10,10,10,82,37,44,59,D
444,Regular,47,13,37,10,10,8,92,42,93,88,A+
445,Regular,17,31,47,10,9,8,81,40,47,63,C
446,Regular,31,43,39,8,8,8,89,40,40,60,D
447,Regular,1,32,16,9,10,10,81,28,72,64,C
448,Regular,47,4,43,8,10,10,95,45,50,70,C
449,Regular,7,29,38,9,9,8,93,35,56,63,C
450,Regular,30,1,18,10,10,9,88,28,99,77,B
451,Regular,2,28,36,8,8,10,89,34,49,58,D
452,Regular,29,29,10,10,8,10,85,32,56,60,D
453,Regular,16,16,17,9,9,9,78,22,95,69,C
454,Regular,45,28,36,10,8,10,76,41,92,87,A+
455,Regular,29,50,15,8,10,8,90,40,97,88,A+
456,Lateral,18,22,18,10,9,10,99,25,43,46,F
457,Regular,38,42,44,10,9,9,99,43,82,84,A
458,Regular,28,18,16,9,9,10,89,27,87,70,C
459,Regular,10,26,45,8,9,9,80,37,49,61,C
460,Regular,43,22,4,8,9,9,76,34,97,82,A
461,Regular,42,45,24,8,9,10,79,43,82,84,A
462,Regular,42,42,28,9,9,8,98,42,99,91,S
463,Regular,45,41,23,9,9,8,82,43,74,80,B
464,Regular,31,24,29,8,10,10,93,33,67,66,C
465,Regular,24,37,18,10,9,10,82,34,56,62,C
466,Regular,34,13,17,8,9,8,99,28,84,70,C
467,Regular,19,24,42,10,9,9,83,35,87,78,B
468,Regular,44,10,2,9,10,9,82,30,54,57,D
469,Lateral,5,50,39,8,10,8,100,44,60,74,B
470,Regular,33,28,31,8,10,9,78,34,72,70,C
471,Regular,43,2,4,8,8,8,84,26,93,72,B
472,Lateral,28,33,37,8,9,9,77,36,60,66,C
473,Regular,45,43,10,8,10,9,76,44,98,93,S
474,Regular,48,22,35,8,8,8,84,41,65,73,B
475,Regular,6,6,8,10,8,8,99,14,78,53,D
476,Regular,23,49,12,9,10,10,89,38,80,78,B
477,Regular,25,36,15,8,8,9,77,32,40,52,D
478,Regular,22,45,39,8,10,10,97,42,91,87,A+
479,Regular,30,22,27,10,10,10,76,32,91,77,B
480,Regular,44,33,15,8,9,9,97,39,53,65,C
481,Regular,13,24,46,10,10,10,83,38,58,67,C
482,Regular,2,45,17,8,10,8,81,33,82,74,B
483,Regular,28,32,14,10,10,10,77,34,52,60,D
484,Regular,6,48,9,8,10,9,94,31,49,55,D
485,Regular,9,19,41,10,8,8,86,32,77,70,C
486,Regular,43,31,14,10,10,8,89,38,99,87,A+
487,Regular,3,42,24,9,10,9,75,35,94,82,A
488,Regular,50,18,14,8,10,8,80,35,49,59,D
489,Regular,47,3,40,8,10,8,77,43,50,68,C
490,Regular,49,28,3,9,9,9,96,39,87,82,A
491,Regular,38,28,1,10,9,9,86,35,49,59,D
